,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
197,Mercedes-Benz M-Класс 400 III (W166),2190000,2013,168000,полный,333,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,Mercedes-Benz,3,49950
198,Toyota Camry VIII (XV70) Рестайлинг,3040000,2022,202,передний,204,Бензин,седан,автомат,2.5,коричневый,Toyota,3,14586
199,Kia Sportage IV,1890000,2018,245010,полный,185,Дизель,внедорожник 5 дв.,автомат,2.0,серый,Kia,3,9250
200,Haval Jolion I,2225000,2022,5860,передний,143,Бензин,внедорожник 5 дв.,робот,1.5,голубой,Haval,3,5005
201,Kia Carnival III,2890000,2018,77539,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,3,13130
202,Kia Carnival III,3100000,2019,52553,передний,202,Дизель,минивэн,автомат,2.2,белый,Kia,4,13130
203,Mercedes-Benz G-Класс AMG 63 AMG I (W463) Рестайлинг 3,8490000,2017,29208,полный,571,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,Mercedes-Benz,5,85650
204,Haval F7 I,2039000,2020,70000,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,чёрный,Haval,3,6750
205,Mercedes-Benz GLK-Класс 300 I (X204) Рестайлинг,1710000,2013,148000,полный,249,Бензин,внедорожник 5 дв.,автомат,3.5,коричневый,Mercedes-Benz,3,18675
206,Hyundai Creta I,1736000,2018,66668,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,Hyundai,3,3075
207,Nissan X-Trail III Рестайлинг,2325000,2019,46157,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,Nissan,3,5040
208,LADA (ВАЗ) Largus I,765000,2017,97000,передний,87,Бензин,фургон,механика,1.6,белый,LADA,1,1044
209,SsangYong Actyon II,872717,2012,189429,полный,149,Дизель,внедорожник 5 дв.,автомат,2.0,красный,SsangYong,1,5215
210,Kia Rio IV,1670000,2020,42799,передний,123,Бензин,седан,автомат,1.6,белый,Kia,2,3075
211,Skoda Kodiaq I,2657000,2019,50464,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,серый,Skoda,3,6750
212,Opel Astra J,643000,2012,192888,передний,140,Бензин,хэтчбек 5 дв.,автомат,1.4,белый,Opel,1,4900
213,Mercedes-Benz G-Класс AMG 63 AMG II (W463),35860000,2022,40,полный,585,Бензин,внедорожник 5 дв.,автомат,4.0,золотистый,Mercedes-Benz,5,263250
214,Hyundai Creta I,1645000,2018,111289,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,чёрный,Hyundai,2,3075
215,Mercedes-Benz GLE Coupe 350 d I (C292),3899000,2016,113000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,белый,Mercedes-Benz,4,18675
216,Mitsubishi Outlander III Рестайлинг,1610000,2014,136530,полный,146,Бензин,внедорожник 5 дв.,вариатор,2.0,чёрный,Mitsubishi,2,5110
217,Hyundai ix35 I Рестайлинг,1390000,2014,157267,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,Hyundai,2,6750
218,Hyundai Grand Starex I,1189000,2008,172000,задний,145,Дизель,минивэн,автомат,2.5,серебристый,Hyundai,2,5075
219,Mercedes-Benz GLS 400 d II (X167),14640000,2022,16,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
220,Mercedes-Benz GLE Coupe 400 d II (C167),13475000,2022,81,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
221,Chery Tiggo 4 I Рестайлинг,1735000,2020,38000,передний,122,Бензин,внедорожник 5 дв.,механика,2.0,серый,Chery,3,3050
222,Kia Soul III,2320000,2021,19564,передний,150,Бензин,хэтчбек 5 дв.,автомат,2.0,синий,Kia,3,6750
223,Hyundai Grand Starex I Рестайлинг 2,3690000,2019,44000,полный,175,Дизель,минивэн,автомат,2.5,коричневый,Hyundai,4,8750
224,Kia Ceed III,1852000,2019,60867,передний,140,Бензин,универсал 5 дв.,робот,1.4,белый,Kia,3,4900
225,Hyundai Grand Starex I Рестайлинг 2,3489000,2018,44000,полный,175,Дизель,минивэн,автомат,2.5,серый,Hyundai,4,8750
226,Mercedes-Benz EQE 350+,10170000,2022,16700,задний,292,Электро,седан,автомат,3.4,белый,Mercedes-Benz,5,0
227,Kia Rio IV,1490000,2019,59000,передний,123,Бензин,седан,автомат,1.6,красный,Kia,2,3075
228,Tesla Model Y Long Range I,4500000,2021,15500,полный,345,Электро,внедорожник 5 дв.,автомат,4.0,белый,Tesla,4,0
229,Porsche Panamera 4S Executive II,8000000,2017,60000,полный,440,Бензин,хэтчбек 5 дв.,робот,2.9,чёрный,Porsche,5,66000
230,BMW X5 50i II (E70) Рестайлинг,3850000,2011,70000,полный,407,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,BMW,4,61050
231,Hyundai Grand Starex I Рестайлинг 2,3727000,2018,41000,полный,175,Дизель,минивэн,автомат,2.5,коричневый,Hyundai,4,8750
232,Hyundai Creta I Рестайлинг,1918000,2020,31440,передний,149,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,Hyundai,3,5215
233,Mercedes-Benz CLS 400 II (C218) Рестайлинг,2150000,2014,178000,полный,333,Бензин,универсал 5 дв.,автомат,3.0,чёрный,Mercedes-Benz,3,49950
234,Mercedes-Benz GLS AMG 63 AMG I (X166),4700000,2016,142176,полный,585,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,Mercedes-Benz,4,87750
235,Kia Sportage V,4200000,2021,19150,передний,186,Дизель,внедорожник 5 дв.,автомат,2.0,белый,Kia,4,10230
236,Hyundai Grand Starex I Рестайлинг 2,3280000,2018,90000,полный,175,Дизель,минивэн,автомат,2.5,серый,Hyundai,4,8750
237,Hyundai Grand Starex I Рестайлинг 2,2848000,2018,58705,задний,175,Дизель,минивэн,автомат,2.5,чёрный,Hyundai,3,8750
238,Hyundai Staria,5400000,2022,15000,полный,177,Дизель,минивэн,автомат,2.2,белый,Hyundai,4,17700
239,Hyundai Grand Starex I Рестайлинг 2,3210000,2018,57566,полный,175,Дизель,минивэн,автомат,2.5,серый,Hyundai,4,8750
240,Hyundai Palisade I,5790000,2022,91,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,26000
241,Hyundai Palisade I,5390000,2021,3600,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,26000
242,Opel Vectra A,115000,1995,355555,передний,71,Бензин,лифтбек,механика,1.6,чёрный,Opel,1,852
243,Ford Focus II Рестайлинг,618000,2010,122592,передний,125,Бензин,хэтчбек 5 дв.,механика,1.8,фиолетовый,Ford,1,4375
244,Genesis G90 II,12700000,2022,11035,полный,380,Бензин,седан,автомат,3.5,золотистый,Genesis,5,171000
245,BMW X3 20d xDrive III (G01),3245000,2019,140000,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,синий,BMW,4,9500
246,Hyundai Palisade I,4230000,2019,78321,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,13000
247,Hyundai Palisade I,4895000,2021,30528,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,14300
248,Porsche Cayenne Coupé III,18300000,2022,17,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серый,Porsche,5,153000
249,Porsche Cayenne GTS Coupé III,21990000,2022,20,полный,460,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,Porsche,5,207000
250,Hyundai Palisade I,4435000,2020,62326,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,Hyundai,4,14300
251,Skoda Octavia III (A7),1080000,2013,130000,передний,180,Бензин,лифтбек,робот,1.8,серебристый,Skoda,2,9000
252,LADA (ВАЗ) 2107,43000,2005,50000,задний,75,Бензин,седан,механика,1.6,розовый,LADA,1,900
253,Hyundai Palisade I,4735000,2020,56828,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,14300
254,Skoda Octavia Scout III (A7),1499000,2015,109000,полный,180,Бензин,универсал 5 дв.,робот,1.8,синий,Skoda,2,9000
255,LADA (ВАЗ) Largus I,900000,2020,104645,передний,87,Бензин,фургон,механика,1.6,коричневый,LADA,1,1044
256,Porsche Cayenne III,13923000,2022,93,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,Porsche,5,153000
257,Porsche Macan S I Рестайлинг,6590000,2019,85000,полный,354,Бензин,внедорожник 5 дв.,робот,3.0,серый,Porsche,5,106200
258,Hyundai Palisade I Рестайлинг,6358000,2022,7014,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,зелёный,Hyundai,5,26000
259,Kia Mohave I Рестайлинг 2,4289000,2019,20000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,Kia,4,18675
260,Hyundai Palisade I,4280000,2019,48599,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,13000
261,Mercedes-Benz GLS 400 d II (X167),11200000,2019,13500,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,Mercedes-Benz,5,148500
262,BMW X5 35i III (F15),3350000,2017,126665,полный,306,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,4,45900
263,Cadillac Escalade V,17000000,2022,4,полный,420,Бензин,внедорожник 5 дв.,автомат,6.2,чёрный,Cadillac,5,189000
264,Dodge Caravan 4-speed IV,355000,2004,250000,передний,152,Бензин,минивэн,автомат,2.4,белый,Dodge,1,6840
265,"Mercedes-Benz S-Класс 350 d Long VI (W222, C217) Рестайлинг",6130000,2019,83524,полный,286,Дизель,седан,автомат,2.9,чёрный,Mercedes-Benz,5,85800
266,BMW X5 40d IV (G05),9690000,2022,28800,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,BMW,5,102000
267,Skoda Octavia III (A7) Рестайлинг,1668000,2020,29767,передний,150,Бензин,лифтбек,робот,1.4,белый,Skoda,2,6750
268,Hyundai Palisade I,4350000,2019,56044,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,чёрный,Hyundai,4,13000
269,Hyundai Staria,6658000,2022,128,полный,177,Дизель,минивэн,автомат,2.2,чёрный,Hyundai,5,17700
270,Toyota Crown XII (S180),550000,2005,270000,задний,256,Бензин,седан,автомат,3.0,чёрный,Toyota,1,38400
271,Volvo S80 II,845000,2007,303000,передний,200,Бензин,седан,автомат,2.5,чёрный,Volvo,1,13000
272,Lexus LX 450d III Рестайлинг 2,11500000,2020,24020,полный,272,Дизель,внедорожник 5 дв.,автомат,4.5,белый,Lexus,5,122400
273,Toyota Land Cruiser 200 Series Рестайлинг 2,9800000,2018,31432,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,Toyota,5,37350
274,Hyundai Palisade I,4760000,2020,40888,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,белый,Hyundai,4,14300
275,Dodge Challenger R__T III Рестайлинг 2,3750000,2019,33000,задний,380,Бензин,купе,автомат,5.7,серый,Dodge,4,57000
276,Hyundai Palisade I,4690000,2020,50684,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,Hyundai,4,14300
277,BMW 5 серии 530i xDrive VII (G30/G31),4180000,2018,74967,полный,252,Бензин,седан,автомат,2.0,белый,BMW,4,37800
278,Hyundai Grand Starex I Рестайлинг 2,3700000,2019,63004,задний,175,Дизель,минивэн,автомат,2.5,коричневый,Hyundai,4,8750
279,Hyundai Grand Starex I Рестайлинг 2,2980000,2019,80239,задний,175,Дизель,минивэн,автомат,2.5,серый,Hyundai,3,8750
280,Land Rover Range Rover Sport I Рестайлинг,1490000,2012,146000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,белый,Land Rover,2,18375
281,Hyundai Santa Fe IV,3130000,2019,73522,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серый,Hyundai,4,13000
282,Mercedes-Benz G-Класс 500 III (W463),23870000,2022,70,полный,422,Бензин,внедорожник 5 дв.,автомат,4.0,серый,Mercedes-Benz,5,189900
283,Hyundai Grand Starex I Рестайлинг 2,3100000,2019,37309,задний,175,Дизель,минивэн,автомат,2.5,серебристый,Hyundai,4,8750
284,Ford Mustang VI Рестайлинг,3390000,2019,41000,задний,317,Бензин,кабриолет,автомат,2.3,серый,Ford,4,47550
285,Hyundai Santa Fe IV,2870000,2019,108953,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,серебристый,Hyundai,3,13000
286,Haval F7x I Рестайлинг,3019000,2022,23,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,белый,Haval,3,10450
287,BMW 5 серии 530i xDrive VII (G30/G31),4200000,2019,72882,полный,252,Бензин,седан,автомат,2.0,серый,BMW,4,37800
288,Haval F7x I,2488000,2021,55693,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,серебристый,Haval,3,9500
